seed_block,position,seed_family,radicado,source_strategy
initial_14,1,base_inicial,11001400303520230010700,base_inicial_validada_cpnu
initial_14,2,base_inicial,11001400306620230164700,base_inicial_validada_cpnu
initial_14,3,base_inicial,11001400307720220072200,base_inicial_validada_cpnu
initial_14,4,base_inicial,11001400305020230030000,base_inicial_validada_cpnu
initial_14,5,base_inicial,11001418901820230049400,base_inicial_validada_cpnu
initial_14,6,base_inicial,11001310300420140025800,base_inicial_validada_cpnu
initial_14,7,base_inicial,11001400307720220073000,base_inicial_validada_cpnu
initial_14,8,base_inicial,11001418901820240057700,base_inicial_validada_cpnu
initial_14,9,base_inicial,11001333501120240010300,base_inicial_validada_cpnu
initial_14,10,base_inicial,11001400300720220073100,base_inicial_validada_cpnu
initial_14,11,base_inicial,11001400304820240111000,base_inicial_validada_cpnu
initial_14,12,base_inicial,11001418905220240042700,base_inicial_validada_cpnu
initial_14,13,base_inicial,11001400302520220039800,base_inicial_validada_cpnu
initial_14,14,base_inicial,11001333603820250000100,base_inicial_validada_cpnu
liberty_15,1,liberty,11001400304820030200800,discovery_nombre_razon_social
liberty_15,2,liberty,11001400304820050173800,discovery_nombre_razon_social
liberty_15,3,liberty,11001400304820130022100,discovery_nombre_razon_social
liberty_15,4,liberty,11001400304820150062900,discovery_nombre_razon_social
liberty_15,5,liberty,11001400304820160025000,discovery_nombre_razon_social
liberty_15,6,liberty,11001400304820210098900,discovery_nombre_razon_social
liberty_15,7,liberty,11001400304820230016300,discovery_nombre_razon_social
liberty_15,8,liberty,11001400304820240063700,discovery_nombre_razon_social
liberty_15,9,liberty,11001400305920030175700,discovery_nombre_razon_social
liberty_15,10,liberty,11001400305920050058200,discovery_nombre_razon_social
liberty_15,11,liberty,11001400305920110026000,discovery_nombre_razon_social
liberty_15,12,liberty,11001400305920150172900,discovery_nombre_razon_social
liberty_15,13,liberty,11001400305920160123300,discovery_nombre_razon_social
liberty_15,14,liberty,11001400305920240107100,discovery_nombre_razon_social
liberty_15,15,liberty,11001400305020230000800,discovery_nombre_razon_social
suramericana_15,1,suramericana,11001400305920140123100,discovery_nombre_razon_social
suramericana_15,2,suramericana,11001400305920240060200,discovery_nombre_razon_social
suramericana_15,3,suramericana,11001400305920240072600,discovery_nombre_razon_social
suramericana_15,4,suramericana,11001400305920240138300,discovery_nombre_razon_social
suramericana_15,5,suramericana,11001400305920250016000,discovery_nombre_razon_social
suramericana_15,6,suramericana,11001400305920250057500,discovery_nombre_razon_social
suramericana_15,7,suramericana,11001400305920250100300,discovery_nombre_razon_social
suramericana_15,8,suramericana,11001400305920250128900,discovery_nombre_razon_social
suramericana_15,9,suramericana,11001418901820220042600,discovery_nombre_razon_social
suramericana_15,10,suramericana,11001418901820230101100,discovery_nombre_razon_social
suramericana_15,11,suramericana,11001418901820240001000,discovery_nombre_razon_social
suramericana_15,12,suramericana,11001418901820240153500,discovery_nombre_razon_social
suramericana_15,13,suramericana,11001418901820260069000,discovery_nombre_razon_social
suramericana_15,14,suramericana,11001418901820260072600,discovery_nombre_razon_social
suramericana_15,15,suramericana,11001400307720200039100,discovery_nombre_razon_social
mapfre_15,1,mapfre,11001400305020230029400,discovery_nombre_razon_social
mapfre_15,2,mapfre,11001400305920020070100,discovery_nombre_razon_social
mapfre_15,3,mapfre,11001400305920090027000,discovery_nombre_razon_social
mapfre_15,4,mapfre,11001400305920090036400,discovery_nombre_razon_social
mapfre_15,5,mapfre,11001400305920110086400,discovery_nombre_razon_social
mapfre_15,6,mapfre,11001400305920230012200,discovery_nombre_razon_social
mapfre_15,7,mapfre,11001400306620120031700,discovery_nombre_razon_social
mapfre_15,8,mapfre,11001400306620170061500,discovery_nombre_razon_social
mapfre_15,9,mapfre,11001400306620190058600,discovery_nombre_razon_social
mapfre_15,10,mapfre,11001400306620210098200,discovery_nombre_razon_social
mapfre_15,11,mapfre,11001400306620230141700,discovery_nombre_razon_social
mapfre_15,12,mapfre,11001400306620240080800,discovery_nombre_razon_social
mapfre_15,13,mapfre,11001400304820060093200,discovery_nombre_razon_social
mapfre_15,14,mapfre,11001400304820210004400,discovery_nombre_razon_social
mapfre_15,15,mapfre,11001400304820250038200,discovery_nombre_razon_social
positiva_25,1,positiva,11001400304820110022200,discovery_nombre_razon_social
positiva_25,2,positiva,11001400304820150098200,discovery_nombre_razon_social
positiva_25,3,positiva,11001400304820230150200,discovery_nombre_razon_social
positiva_25,4,positiva,11001400305920090023000,discovery_nombre_razon_social
positiva_25,5,positiva,11001400305920090155300,discovery_nombre_razon_social
positiva_25,6,positiva,11001400305920100062000,discovery_nombre_razon_social
positiva_25,7,positiva,11001400305920140026500,discovery_nombre_razon_social
positiva_25,8,positiva,11001400305920160115600,discovery_nombre_razon_social
positiva_25,9,positiva,11001400305920170064800,discovery_nombre_razon_social
positiva_25,10,positiva,11001400305920180092000,discovery_nombre_razon_social
positiva_25,11,positiva,11001400305920210088300,discovery_nombre_razon_social
positiva_25,12,positiva,11001400305920210097500,discovery_nombre_razon_social
positiva_25,13,positiva,11001400305920230013200,discovery_nombre_razon_social
positiva_25,14,positiva,11001400305920240023100,discovery_nombre_razon_social
positiva_25,15,positiva,11001400306620150069800,discovery_nombre_razon_social
positiva_25,16,positiva,11001400306620170091500,discovery_nombre_razon_social
positiva_25,17,positiva,11001400306620170122600,discovery_nombre_razon_social
positiva_25,18,positiva,11001400306620260033300,discovery_nombre_razon_social
positiva_25,19,positiva,11001400307720180000100,discovery_nombre_razon_social
positiva_25,20,positiva,11001400307720190045000,discovery_nombre_razon_social
positiva_25,21,positiva,11001400307720210118400,discovery_nombre_razon_social
positiva_25,22,positiva,11001400307720220041800,discovery_nombre_razon_social
positiva_25,23,positiva,11001400307720220062100,discovery_nombre_razon_social
positiva_25,24,positiva,11001400307720230118700,discovery_nombre_razon_social
positiva_25,25,positiva,11001418901820230203700,discovery_nombre_razon_social
